id,rating,predicted_rating,context_time,movie_id,learner_id
5680,5,,2017-12-06 13:52:37.973021+00,215,17
5681,4,,2017-12-06 13:52:37.988268+00,189,17
5682,2,,2017-12-06 13:52:38.003969+00,316,17
5688,4,,2017-12-06 13:52:38.091418+00,310,17
5689,1,,2017-12-06 13:52:38.106881+00,263,17
5690,4,,2017-12-06 13:52:38.122716+00,147,17
5691,3,,2017-12-06 13:52:38.138725+00,91,17
5692,2,,2017-12-06 13:52:38.153258+00,83,17
5693,4,,2017-12-06 13:52:38.167897+00,326,17
5694,3,,2017-12-06 13:52:38.182686+00,81,17
5739,3,7.911204,2017-12-06 13:53:39.93211+00,45,17
5744,5,2.941528,2017-12-06 13:53:39.918215+00,50,17
5946,3,7.250532,2017-12-06 13:53:39.964375+00,266,17
5965,2,4.134254,2017-12-06 13:53:39.908006+00,285,17
5854,4,2.927475,2017-12-06 13:53:39.953132+00,168,17
5918,2,4.132393,2017-12-06 13:53:39.892475+00,236,17
6081,4,,2017-12-06 14:26:37.641607+00,221,18
6082,4,,2017-12-06 14:26:37.657408+00,127,18
6083,3,,2017-12-06 14:26:37.673601+00,103,18
6084,4,,2017-12-06 14:26:37.688218+00,214,18
6085,5,,2017-12-06 14:26:37.702528+00,259,18
6086,3,,2017-12-06 14:26:37.717538+00,370,18
6087,4,,2017-12-06 14:26:37.731421+00,395,18
6088,4,,2017-12-06 14:26:37.746091+00,369,18
